subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt,trigger
asfaewwefaefa,30,30,78,HR7 MH4,high,medium,wanting_to_move,main,1535.7791226399422,0,17.004542700000457,36
asfaewwefaefa,23,23,52,Mariato Clave MR5 HH3,medium,high,wanting_to_move,main,1554.8046087399416,0,17.00354979999247,25
asfaewwefaefa,5,5,50,Mariato Clave MR5 MH2,medium,medium,wanting_to_move,main,1573.8289947399462,0,17.004284599999664,15
asfaewwefaefa,48,48,80,HR7 HH5,high,high,wanting_to_move,main,1592.8537875399488,0,17.004104699997697,46
asfaewwefaefa,1,1,32,Son Clave MR1 MH2,medium,medium,wanting_to_move,main,1611.8782964399434,0,17.004080900005647,11
asfaewwefaefa,16,16,44,Rumba Clave MR2 HH5,medium,high,wanting_to_move,main,1630.9028320399375,0,17.004403999992064,24
asfaewwefaefa,8,8,33,Son Clave MR1 MH4,medium,medium,wanting_to_move,main,1649.9279811399465,0,17.003635100001702,12
asfaewwefaefa,42,42,80,HR7 HH5,high,high,wanting_to_move,main,1668.9522002399463,0,17.003809400004684,46
asfaewwefaefa,11,11,50,Mariato Clave MR5 MH2,medium,medium,wanting_to_move,main,1687.9773562399496,0,17.003765999994357,15
asfaewwefaefa,15,15,43,Rumba Clave MR2 HH3,medium,high,wanting_to_move,main,1707.0017655399424,0,17.00426349999907,23
asfaewwefaefa,6,6,51,Mariato Clave MR5 MH4,medium,medium,wanting_to_move,main,1726.0283754399425,0,17.00198650000675,16
asfaewwefaefa,14,14,35,Son Clave MR1 HH5,medium,high,wanting_to_move,main,1745.050464839951,0,17.004757499991683,22
asfaewwefaefa,35,35,77,HR7 MH2,high,medium,wanting_to_move,main,1764.0766653399478,0,17.003210800001398,35
asfaewwefaefa,21,21,43,Rumba Clave MR2 HH3,medium,high,wanting_to_move,main,1783.101283639946,0,17.002611699994304,23
asfaewwefaefa,41,41,79,HR7 HH3,high,high,wanting_to_move,main,1802.1250947399385,0,17.004527700002654,45
asfaewwefaefa,13,13,34,Son Clave MR1 HH3,medium,high,wanting_to_move,main,1821.1500705399376,0,17.00406870000006,21
asfaewwefaefa,36,36,78,HR7 MH4,high,medium,wanting_to_move,main,1840.2277372399403,0,17.000825999988592,36
asfaewwefaefa,47,47,79,HR7 HH3,high,high,wanting_to_move,main,1859.250079239937,0,17.00366390000272,45
asfaewwefaefa,26,26,60,HR1 MH4,high,medium,wanting_to_move,main,1878.2745568399405,0,17.003571600012947,32
asfaewwefaefa,10,10,42,Rumba Clave MR2 MH4,medium,medium,wanting_to_move,main,1897.2978171399445,0,17.004219499998726,14
asfaewwefaefa,37,37,61,HR1 HH3,high,high,wanting_to_move,main,1916.3237999399425,0,17.002967599997646,41
asfaewwefaefa,29,29,77,HR7 MH2,high,medium,wanting_to_move,main,1935.3477501399466,0,17.004114800001844,35
asfaewwefaefa,25,25,59,HR1 MH2,high,medium,wanting_to_move,main,1954.372059739937,0,17.004720400000224,31
