trial_code,code,number,name,rhythm,harmony,condition,block,trigger
112,112,80,HR7 HH5,high,high,wanting_to_move,main,29
113,1,91,IR LH2,iso,low,pleasure,main,40
114,2,92,IR LH3,iso,low,pleasure,main,40
115,3,97,IR HH3,iso,high,pleasure,main,41
116,4,98,IR HH5,iso,high,pleasure,main,41
117,5,1,LR3 LH2,low,low,pleasure,main,1
118,6,2,LR3 LH3,low,low,pleasure,main,1
119,7,11,LR6 LH2,low,low,pleasure,main,2
120,8,12,LR6 LH3,low,low,pleasure,main,2
121,9,19,LR7 LH2,low,low,pleasure,main,3
122,10,20,LR7 LH3,low,low,pleasure,main,3
123,11,1,LR3 LH2,low,low,pleasure,main,1
124,12,2,LR3 LH3,low,low,pleasure,main,1
125,13,11,LR6 LH2,low,low,pleasure,main,2
126,14,12,LR6 LH3,low,low,pleasure,main,2
127,15,19,LR7 LH2,low,low,pleasure,main,3
128,16,20,LR7 LH3,low,low,pleasure,main,3
129,17,5,LR3 MH2,low,medium,pleasure,main,11
130,18,6,LR3 MH4,low,medium,pleasure,main,11
131,19,14,LR6 MH2,low,medium,pleasure,main,12
132,20,15,LR6 MH4,low,medium,pleasure,main,12
133,21,23,LR7 MH2,low,medium,pleasure,main,13
134,22,24,LR7 MH4,low,medium,pleasure,main,13
135,23,5,LR3 MH2,low,medium,pleasure,main,11
136,24,6,LR3 MH4,low,medium,pleasure,main,11
137,25,14,LR6 MH2,low,medium,pleasure,main,12
138,26,15,LR6 MH4,low,medium,pleasure,main,12
139,27,23,LR7 MH2,low,medium,pleasure,main,13
140,28,24,LR7 MH4,low,medium,pleasure,main,13
141,29,7,LR3 HH3,low,high,pleasure,main,21
142,30,8,LR3 HH5,low,high,pleasure,main,21
143,31,16,LR6 HH3,low,high,pleasure,main,22
144,32,17,LR6 HH5,low,high,pleasure,main,22
145,33,25,LR7 HH3,low,high,pleasure,main,23
146,34,26,LR7 HH5,low,high,pleasure,main,23
147,35,7,LR3 HH3,low,high,pleasure,main,21
148,36,8,LR3 HH5,low,high,pleasure,main,21
149,37,16,LR6 HH3,low,high,pleasure,main,22
150,38,17,LR6 HH5,low,high,pleasure,main,22
151,39,25,LR7 HH3,low,high,pleasure,main,23
152,40,26,LR7 HH5,low,high,pleasure,main,23
153,41,28,Son Clave MR1 LH2,medium,low,pleasure,main,4
154,42,29,Son Clave MR1 LH3,medium,low,pleasure,main,4
155,43,37,Rumba Clave MR2 LH2,medium,low,pleasure,main,5
156,44,38,Rumba Clave MR2 LH3,medium,low,pleasure,main,5
157,45,46,Mariato Clave MR5 LH2,medium,low,pleasure,main,6
158,46,47,Mariato Clave MR5 LH3,medium,low,pleasure,main,6
159,47,28,Son Clave MR1 LH2,medium,low,pleasure,main,4
160,48,29,Son Clave MR1 LH3,medium,low,pleasure,main,4
161,49,37,Rumba Clave MR2 LH2,medium,low,pleasure,main,5
162,50,38,Rumba Clave MR2 LH3,medium,low,pleasure,main,5
163,51,46,Mariato Clave MR5 LH2,medium,low,pleasure,main,6
164,52,47,Mariato Clave MR5 LH3,medium,low,pleasure,main,6
165,53,32,Son Clave MR1 MH2,medium,medium,pleasure,main,14
166,54,33,Son Clave MR1 MH4,medium,medium,pleasure,main,14
167,55,41,Rumba Clave MR2 MH2,medium,medium,pleasure,main,15
168,56,42,Rumba Clave MR2 MH4,medium,medium,pleasure,main,15
169,57,50,Mariato Clave MR5 MH2,medium,medium,pleasure,main,16
170,58,51,Mariato Clave MR5 MH4,medium,medium,pleasure,main,16
171,59,32,Son Clave MR1 MH2,medium,medium,pleasure,main,14
